"Feeding Type","Mean Log Predator Mass","Mean Log Prey Mass","Mean Log Predator Prey Mass Ratio","Median Log Predator Mass","Median Log Prey Mass","Median Log Predator Prey Mass Ratio"
"insectivorous",1.71752969478494,-2.19580346259828,6.62946782831174,-0.042385716496438,-3.11903048989848,2.61638301257639
"piscivorous",9.86169760777711,3.6692066637197,9.45864605956439,7.97246601597457,1.81807677754543,5.61677109766657
"planktivorous",7.93629266790568,-0.627075916379389,12.0495753457076,-3.83506196429202,-13.9524764130374,9.82552601106642
"predacious",9.2526030723012,2.63774342032282,11.6293525167623,6.4118182677099,-1.52326021619305,8.29090946958616
"predacious/piscivorous",6.63939831147624,3.08606657072906,4.57156979134841,6.38012253689976,2.61006979274201,3.71028336277709
